latitud,longitud,co2,fecha
14.619437,-90.5585167,74,2017-10-0914:05:21
14.620683,-90.5592247,125,2017-10-0914:05:22
14.62141,-90.5596217,54,2017-10-0914:05:23
14.62276 ,-90.5600397,113,2017-10-0914:05:24
14.623372,-90.5605227,97,2017-10-0914:05:25
14.623756,-90.5604157,56,2017-10-0914:05:26
14.623559,-90.5608987,71,2017-10-0914:05:27
14.623403,-90.5611777,145,2017-10-0914:05:28
14.622832,-90.5621437,274,2017-10-0914:05:29
14.622375,-90.5621757,109,2017-10-0914:05:30
14.621534,-90.5616817,130,2017-10-0914:05:31
14.621212,-90.5612097,146,2017-10-0914:05:32
14.621866,-90.5600727,129,2017-10-0914:05:33
14.620039,-90.5591287,55,2017-10-0914:05:34
14.617329 ,-90.5577767,78,2017-10-0914:05:35
14.599791,-90.5603007,53,2017-10-0914:05:36
14.600165,-90.5613953,131,2017-10-0914:05:37
14.600617,-90.5621353,126,2017-10-0914:05:38
14.60123,-90.5626773,103,2017-10-0914:05:39
14.602154,-90.5626453,66,2017-10-0914:05:40
14.602154,-90.5626453,69,2017-10-0914:05:41
14.603306,-90.5619693,133,2017-10-0914:05:42
14.6051149,-90.5603469,96,2017-10-0914:05:43
14.604715,-90.5609583,113,2017-10-0914:05:44
14.605338,-90.5605023,84,2017-10-0914:05:45
14.606263,-90.5599273,150,2017-10-0914:05:46
14.607182,-90.5591653,75,2017-10-0914:05:47
14.608106,-90.5585483,76,2017-10-0914:05:48
14.608615, -90.5581243,220,2017-10-0914:05:49
14.609274,-90.5577433,63,2017-10-0914:05:50
14.6117038 ,-90.5554317,123,2017-10-0914:05:51
14.611086,-90.5565153,75,2017-10-0914:05:52
14.611719,-90.5560973,110,2017-10-0914:05:53
14.611719,-90.5560973,97,2017-10-0914:05:54
14.612887,-90.5555983,92,2017-10-0914:05:55
14.613681 ,-90.5553033,141,2017-10-0914:05:56
14.614631,-90.5552983,98,2017-10-0914:05:57
14.618472,-90.5579157,147,2017-10-0914:05:58
14.619437,-90.5585167,62,2017-10-0914:05:59
14.620683,-90.5592247,64,2017-10-0914:06:00
14.62141,-90.5596217,122,2017-10-0914:06:01
14.62276 ,-90.5600397,54,2017-10-0914:06:02
14.623372,-90.5605227,74,2017-10-0914:06:03
14.623756,-90.5604157,146,2017-10-0914:06:04
14.623559,-90.5608987,91,2017-10-0914:06:05
14.623403,-90.5611777,105,2017-10-0914:06:06
14.622832,-90.5621437,147,2017-10-0914:06:07
14.622375,-90.5621757,127,2017-10-0914:06:08
14.621534,-90.5616817,390,2017-10-0914:06:09
14.621212,-90.5612097,79,2017-10-0914:06:10
14.621866,-90.5600727,145,2017-10-0914:06:11
14.620039,-90.5591287,109,2017-10-0914:06:12
14.617329 ,-90.5577767,97,2017-10-0914:06:13
14.599791,-90.5603007,88,2017-10-0914:06:14
14.600165,-90.5613953,144,2017-10-0914:06:15
14.600617,-90.5621353,105,2017-10-0914:06:16
14.60123,-90.5626773,105,2017-10-0914:06:17
14.602154,-90.5626453,70,2017-10-0914:06:18
14.602154,-90.5626453,148,2017-10-0914:06:19
14.603306,-90.5619693,73,2017-10-0914:06:20
14.6051149,-90.5603469,149,2017-10-0914:06:21
14.604715,-90.5609583,75,2017-10-0914:06:22
14.605338,-90.5605023,61,2017-10-0914:06:23
14.606263,-90.5599273,118,2017-10-0914:06:24
14.607182,-90.5591653,84,2017-10-0914:06:25
14.608106,-90.5585483,72,2017-10-0914:06:26
14.608615, -90.5581243,138,2017-10-0914:06:27
14.609274,-90.5577433,143,2017-10-0914:06:28
14.6117038 ,-90.5554317,180,2017-10-0914:06:29
14.611086,-90.5565153,128,2017-10-0914:06:30
14.611719,-90.5560973,111,2017-10-0914:06:31
14.611719,-90.5560973,101,2017-10-0914:06:32
14.612887,-90.5555983,76,2017-10-0914:06:33
14.613681 ,-90.5553033,101,2017-10-0914:06:34
14.614631,-90.5552983,55,2017-10-0914:06:35
14.618472,-90.5579157,147,2017-10-0914:06:36
14.619437,-90.5585167,84,2017-10-0914:06:37
14.620683,-90.5592247,108,2017-10-0914:06:38
14.62141,-90.5596217,106,2017-10-0914:06:39
14.62276 ,-90.5600397,75,2017-10-0914:06:40
14.623372,-90.5605227,58,2017-10-0914:06:41
14.623756,-90.5604157,94,2017-10-0914:06:42
14.623559,-90.5608987,125,2017-10-0914:06:43
14.623403,-90.5611777,54,2017-10-0914:06:44
14.622832,-90.5621437,148,2017-10-0914:06:45
14.622375,-90.5621757,62,2017-10-0914:06:46
14.621534,-90.5616817,146,2017-10-0914:06:47
14.621212,-90.5612097,91,2017-10-0914:06:48
14.621866,-90.5600727,308,2017-10-0914:06:49
14.620039,-90.5591287,93,2017-10-0914:06:50
14.617329 ,-90.5577767,94,2017-10-0914:06:51
14.599791,-90.5603007,143,2017-10-0914:06:52
14.600165,-90.5613953,56,2017-10-0914:06:53
14.600617,-90.5621353,72,2017-10-0914:06:54
14.60123,-90.5626773,142,2017-10-0914:06:55
14.602154,-90.5626453,80,2017-10-0914:06:56
14.602154,-90.5626453,112,2017-10-0914:06:57
14.603306,-90.5619693,71,2017-10-0914:06:58
14.6051149,-90.5603469,68,2017-10-0914:06:59
14.604715,-90.5609583,122,2017-10-0914:07:00
14.605338,-90.5605023,79,2017-10-0914:07:01
14.606263,-90.5599273,150,2017-10-0914:07:02
14.607182,-90.5591653,150,2017-10-0914:07:03
14.608106,-90.5585483,138,2017-10-0914:07:04
14.608615, -90.5581243,76,2017-10-0914:07:05
14.609274,-90.5577433,119,2017-10-0914:07:06
14.6117038 ,-90.5554317,88,2017-10-0914:07:07
14.611086,-90.5565153,94,2017-10-0914:07:08
14.611719,-90.5560973,336,2017-10-0914:07:09
14.611719,-90.5560973,104,2017-10-0914:07:10
14.612887,-90.5555983,131,2017-10-0914:07:11
14.613681 ,-90.5553033,150,2017-10-0914:07:12
14.614631,-90.5552983,132,2017-10-0914:07:13
14.618472,-90.5579157,88,2017-10-0914:07:14
14.619437,-90.5585167,140,2017-10-0914:07:15
14.620683,-90.5592247,50,2017-10-0914:07:16
14.62141,-90.5596217,55,2017-10-0914:07:17
14.62276 ,-90.5600397,86,2017-10-0914:07:18
14.623372,-90.5605227,85,2017-10-0914:07:19
14.623756,-90.5604157,149,2017-10-0914:07:20
14.623559,-90.5608987,86,2017-10-0914:07:21
14.623403,-90.5611777,52,2017-10-0914:07:22
14.622832,-90.5621437,67,2017-10-0914:07:23
14.622375,-90.5621757,113,2017-10-0914:07:24
14.621534,-90.5616817,104,2017-10-0914:07:25
14.621212,-90.5612097,59,2017-10-0914:07:26
14.621866,-90.5600727,108,2017-10-0914:07:27
14.620039,-90.5591287,96,2017-10-0914:07:28
14.617329 ,-90.5577767,156,2017-10-0914:07:29
14.599791,-90.5603007,118,2017-10-0914:07:30
14.600165,-90.5613953,114,2017-10-0914:07:31
14.600617,-90.5621353,116,2017-10-0914:07:32
14.60123,-90.5626773,56,2017-10-0914:07:33
14.602154,-90.5626453,61,2017-10-0914:07:34
14.602154,-90.5626453,146,2017-10-0914:07:35
14.603306,-90.5619693,59,2017-10-0914:07:36
14.6051149,-90.5603469,81,2017-10-0914:07:37
14.604715,-90.5609583,67,2017-10-0914:07:38
14.605338,-90.5605023,79,2017-10-0914:07:39
14.606263,-90.5599273,81,2017-10-0914:07:40
14.607182,-90.5591653,148,2017-10-0914:07:41
14.608106,-90.5585483,79,2017-10-0914:07:42
14.608615, -90.5581243,105,2017-10-0914:07:43
14.609274,-90.5577433,126,2017-10-0914:07:44
14.6117038 ,-90.5554317,63,2017-10-0914:07:45
14.611086,-90.5565153,136,2017-10-0914:07:46
14.611719,-90.5560973,109,2017-10-0914:07:47
14.611719,-90.5560973,110,2017-10-0914:07:48
14.612887,-90.5555983,239,2017-10-0914:07:49
14.613681 ,-90.5553033,138,2017-10-0914:07:50
14.614631,-90.5552983,74,2017-10-0914:07:51
14.618472,-90.5579157,128,2017-10-0914:07:52
14.619437,-90.5585167,62,2017-10-0914:07:53
14.620683,-90.5592247,86,2017-10-0914:07:54
14.62141,-90.5596217,99,2017-10-0914:07:55
14.62276 ,-90.5600397,80,2017-10-0914:07:56
14.623372,-90.5605227,137,2017-10-0914:07:57
14.623756,-90.5604157,108,2017-10-0914:07:58
14.623559,-90.5608987,71,2017-10-0914:07:59
14.623403,-90.5611777,145,2017-10-0914:08:00
14.622832,-90.5621437,63,2017-10-0914:08:01
14.622375,-90.5621757,114,2017-10-0914:08:02
14.621534,-90.5616817,97,2017-10-0914:08:03
14.621212,-90.5612097,74,2017-10-0914:08:04
14.621866,-90.5600727,133,2017-10-0914:08:05
14.620039,-90.5591287,57,2017-10-0914:08:06
14.617329 ,-90.5577767,101,2017-10-0914:08:07
14.599791,-90.5603007,72,2017-10-0914:08:08
14.600165,-90.5613953,301,2017-10-0914:08:09
14.600617,-90.5621353,60,2017-10-0914:08:10
14.60123,-90.5626773,132,2017-10-0914:08:11
14.602154,-90.5626453,51,2017-10-0914:08:12
14.602154,-90.5626453,107,2017-10-0914:08:13
14.603306,-90.5619693,128,2017-10-0914:08:14
14.6051149,-90.5603469,50,2017-10-0914:08:15
14.604715,-90.5609583,50,2017-10-0914:08:16
14.605338,-90.5605023,56,2017-10-0914:08:17
14.606263,-90.5599273,118,2017-10-0914:08:18
14.607182,-90.5591653,149,2017-10-0914:08:19
14.608106,-90.5585483,85,2017-10-0914:08:20
14.608615, -90.5581243,116,2017-10-0914:08:21
14.609274,-90.5577433,108,2017-10-0914:08:22
14.6117038 ,-90.5554317,109,2017-10-0914:08:23
14.611086,-90.5565153,50,2017-10-0914:08:24
14.611719,-90.5560973,55,2017-10-0914:08:25
14.611719,-90.5560973,130,2017-10-0914:08:26
14.612887,-90.5555983,88,2017-10-0914:08:27
14.613681 ,-90.5553033,81,2017-10-0914:08:28
14.614631,-90.5552983,356,2017-10-0914:08:29
14.618472,-90.5579157,117,2017-10-0914:08:30
14.619437,-90.5585167,59,2017-10-0914:08:31
14.620683,-90.5592247,138,2017-10-0914:08:32
14.62141,-90.5596217,116,2017-10-0914:08:33
14.62276 ,-90.5600397,131,2017-10-0914:08:34
14.623372,-90.5605227,132,2017-10-0914:08:35
14.623756,-90.5604157,119,2017-10-0914:08:36
14.623559,-90.5608987,100,2017-10-0914:08:37
14.623403,-90.5611777,88,2017-10-0914:08:38
14.622832,-90.5621437,57,2017-10-0914:08:39
14.622375,-90.5621757,101,2017-10-0914:08:40
14.621534,-90.5616817,62,2017-10-0914:08:41
14.621212,-90.5612097,119,2017-10-0914:08:42
14.621866,-90.5600727,62,2017-10-0914:08:43
14.620039,-90.5591287,56,2017-10-0914:08:44
14.617329 ,-90.5577767,57,2017-10-0914:08:45
14.599791,-90.5603007,66,2017-10-0914:08:46
14.600165,-90.5613953,122,2017-10-0914:08:47
14.600617,-90.5621353,150,2017-10-0914:08:48
14.60123,-90.5626773,98,2017-10-0914:08:49
14.602154,-90.5626453,111,2017-10-0914:08:50
14.602154,-90.5626453,127,2017-10-0914:08:51
14.603306,-90.5619693,76,2017-10-0914:08:52
14.6051149,-90.5603469,68,2017-10-0914:08:53
14.604715,-90.5609583,128,2017-10-0914:08:54
14.605338,-90.5605023,128,2017-10-0914:08:55
14.606263,-90.5599273,119,2017-10-0914:08:56
14.607182,-90.5591653,103,2017-10-0914:08:57
14.608106,-90.5585483,68,2017-10-0914:08:58
14.608615, -90.5581243,93,2017-10-0914:08:59
14.609274,-90.5577433,53,2017-10-0914:09:00
14.6117038 ,-90.5554317,102,2017-10-0914:09:01
14.611086,-90.5565153,93,2017-10-0914:09:02
14.611719,-90.5560973,63,2017-10-0914:09:03
14.611719,-90.5560973,98,2017-10-0914:09:04
14.612887,-90.5555983,132,2017-10-0914:09:05
14.613681 ,-90.5553033,130,2017-10-0914:09:06
14.614631,-90.5552983,70,2017-10-0914:09:07
14.618472,-90.5579157,111,2017-10-0914:09:08
14.619437,-90.5585167,244,2017-10-0914:09:09
14.620683,-90.5592247,122,2017-10-0914:09:10
14.62141,-90.5596217,59,2017-10-0914:09:11
14.62276 ,-90.5600397,102,2017-10-0914:09:12
14.623372,-90.5605227,116,2017-10-0914:09:13
14.623756,-90.5604157,60,2017-10-0914:09:14
14.623559,-90.5608987,80,2017-10-0914:09:15
14.623403,-90.5611777,74,2017-10-0914:09:16
14.622832,-90.5621437,132,2017-10-0914:09:17
14.622375,-90.5621757,103,2017-10-0914:09:18
14.621534,-90.5616817,131,2017-10-0914:09:19
14.621212,-90.5612097,110,2017-10-0914:09:20
14.621866,-90.5600727,121,2017-10-0914:09:21
14.620039,-90.5591287,81,2017-10-0914:09:22
14.617329 ,-90.5577767,63,2017-10-0914:09:23
14.599791,-90.5603007,122,2017-10-0914:09:24
14.600165,-90.5613953,70,2017-10-0914:09:25
14.600617,-90.5621353,118,2017-10-0914:09:26
14.60123,-90.5626773,111,2017-10-0914:09:27
14.602154,-90.5626453,67,2017-10-0914:09:28
14.602154,-90.5626453,264,2017-10-0914:09:29
14.603306,-90.5619693,75,2017-10-0914:09:30
14.6051149,-90.5603469,90,2017-10-0914:09:31
14.604715,-90.5609583,98,2017-10-0914:09:32
14.605338,-90.5605023,81,2017-10-0914:09:33
14.606263,-90.5599273,115,2017-10-0914:09:34
14.607182,-90.5591653,102,2017-10-0914:09:35
14.608106,-90.5585483,83,2017-10-0914:09:36
14.608615, -90.5581243,107,2017-10-0914:09:37
14.609274,-90.5577433,148,2017-10-0914:09:38
14.6117038 ,-90.5554317,141,2017-10-0914:09:39
14.611086,-90.5565153,114,2017-10-0914:09:40
14.611719,-90.5560973,97,2017-10-0914:09:41
14.611719,-90.5560973,125,2017-10-0914:09:42
14.612887,-90.5555983,86,2017-10-0914:09:43
14.613681 ,-90.5553033,58,2017-10-0914:09:44
14.614631,-90.5552983,62,2017-10-0914:09:45
14.618472,-90.5579157,116,2017-10-0914:09:46
14.619437,-90.5585167,77,2017-10-0914:09:47
14.620683,-90.5592247,98,2017-10-0914:09:48
14.62141,-90.5596217,181,2017-10-0914:09:49
14.62276 ,-90.5600397,89,2017-10-0914:09:50
14.623372,-90.5605227,112,2017-10-0914:09:51
14.623756,-90.5604157,92,2017-10-0914:09:52
14.623559,-90.5608987,91,2017-10-0914:09:53
14.623403,-90.5611777,128,2017-10-0914:09:54
14.622832,-90.5621437,60,2017-10-0914:09:55
14.622375,-90.5621757,75,2017-10-0914:09:56
14.621534,-90.5616817,89,2017-10-0914:09:57
14.621212,-90.5612097,92,2017-10-0914:09:58
14.621866,-90.5600727,90,2017-10-0914:09:59
14.620039,-90.5591287,112,2017-10-0914:10:00
14.617329 ,-90.5577767,148,2017-10-0914:10:01
14.599791,-90.5603007,77,2017-10-0914:10:02
14.600165,-90.5613953,128,2017-10-0914:10:03
14.600617,-90.5621353,114,2017-10-0914:10:04
14.60123,-90.5626773,139,2017-10-0914:10:05
14.602154,-90.5626453,138,2017-10-0914:10:06
14.602154,-90.5626453,71,2017-10-0914:10:07
14.603306,-90.5619693,76,2017-10-0914:10:08
14.6051149,-90.5603469,303,2017-10-0914:10:09
14.604715,-90.5609583,65,2017-10-0914:10:10
14.605338,-90.5605023,90,2017-10-0914:10:11
14.606263,-90.5599273,86,2017-10-0914:10:12
14.607182,-90.5591653,136,2017-10-0914:10:13
14.608106,-90.5585483,105,2017-10-0914:10:14
14.608615, -90.5581243,150,2017-10-0914:10:15
14.609274,-90.5577433,134,2017-10-0914:10:16
14.6117038 ,-90.5554317,53,2017-10-0914:10:17
14.611086,-90.5565153,51,2017-10-0914:10:18
14.611719,-90.5560973,122,2017-10-0914:10:19
14.611719,-90.5560973,98,2017-10-0914:10:20
14.612887,-90.5555983,59,2017-10-0914:10:21
14.613681 ,-90.5553033,127,2017-10-0914:10:22
14.614631,-90.5552983,105,2017-10-0914:10:23
14.618472,-90.5579157,119,2017-10-0914:10:24
14.619437,-90.5585167,109,2017-10-0914:10:25
14.620683,-90.5592247,86,2017-10-0914:10:26
14.62141,-90.5596217,133,2017-10-0914:10:27
14.62276 ,-90.5600397,77,2017-10-0914:10:28
14.623372,-90.5605227,340,2017-10-0914:10:29
14.623756,-90.5604157,76,2017-10-0914:10:30
14.623559,-90.5608987,142,2017-10-0914:10:31
14.623403,-90.5611777,146,2017-10-0914:10:32
14.622832,-90.5621437,64,2017-10-0914:10:33
14.622375,-90.5621757,145,2017-10-0914:10:34
14.621534,-90.5616817,110,2017-10-0914:10:35
14.621212,-90.5612097,83,2017-10-0914:10:36
14.621866,-90.5600727,133,2017-10-0914:10:37
14.620039,-90.5591287,126,2017-10-0914:10:38
14.617329 ,-90.5577767,106,2017-10-0914:10:39
14.599791,-90.5603007,113,2017-10-0914:10:40
14.600165,-90.5613953,130,2017-10-0914:10:41
14.600617,-90.5621353,91,2017-10-0914:10:42
14.60123,-90.5626773,119,2017-10-0914:10:43
14.602154,-90.5626453,52,2017-10-0914:10:44
14.602154,-90.5626453,68,2017-10-0914:10:45
14.603306,-90.5619693,60,2017-10-0914:10:46
14.6051149,-90.5603469,64,2017-10-0914:10:47
14.604715,-90.5609583,138,2017-10-0914:10:48
14.605338,-90.5605023,225,2017-10-0914:10:49
14.606263,-90.5599273,62,2017-10-0914:10:50
14.607182,-90.5591653,101,2017-10-0914:10:51
14.608106,-90.5585483,56,2017-10-0914:10:52
14.608615, -90.5581243,112,2017-10-0914:10:53
14.609274,-90.5577433,80,2017-10-0914:10:54
14.6117038 ,-90.5554317,120,2017-10-0914:10:55
14.611086,-90.5565153,95,2017-10-0914:10:56
14.611719,-90.5560973,137,2017-10-0914:10:57
14.611719,-90.5560973,84,2017-10-0914:10:58
14.612887,-90.5555983,137,2017-10-0914:10:59
14.613681 ,-90.5553033,90,2017-10-0914:11:00
14.614631,-90.5552983,77,2017-10-0914:11:01
14.618472,-90.5579157,121,2017-10-0914:11:02
14.619437,-90.5585167,61,2017-10-0914:11:03
14.620683,-90.5592247,122,2017-10-0914:11:04
14.62141,-90.5596217,82,2017-10-0914:11:05
14.62276 ,-90.5600397,142,2017-10-0914:11:06
14.623372,-90.5605227,135,2017-10-0914:11:07
14.623756,-90.5604157,60,2017-10-0914:11:08
14.623559,-90.5608987,253,2017-10-0914:11:09
14.623403,-90.5611777,150,2017-10-0914:11:10
14.622832,-90.5621437,113,2017-10-0914:11:11
14.622375,-90.5621757,99,2017-10-0914:11:12
14.621534,-90.5616817,68,2017-10-0914:11:13
14.621212,-90.5612097,51,2017-10-0914:11:14
14.621866,-90.5600727,86,2017-10-0914:11:15
14.620039,-90.5591287,104,2017-10-0914:11:16
14.617329 ,-90.5577767,127,2017-10-0914:11:17
14.599791,-90.5603007,110,2017-10-0914:11:18
14.600165,-90.5613953,84,2017-10-0914:11:19
14.600617,-90.5621353,69,2017-10-0914:11:20
14.60123,-90.5626773,73,2017-10-0914:11:21
14.602154,-90.5626453,51,2017-10-0914:11:22
14.602154,-90.5626453,122,2017-10-0914:11:23
14.603306,-90.5619693,66,2017-10-0914:11:24
14.6051149,-90.5603469,137,2017-10-0914:11:25
14.604715,-90.5609583,62,2017-10-0914:11:26
14.605338,-90.5605023,100,2017-10-0914:11:27
14.606263,-90.5599273,149,2017-10-0914:11:28
14.607182,-90.5591653,119,2017-10-0914:11:29
14.608106,-90.5585483,75,2017-10-0914:11:30
14.608615, -90.5581243,90,2017-10-0914:11:31
14.609274,-90.5577433,119,2017-10-0914:11:32
14.6117038 ,-90.5554317,81,2017-10-0914:11:33
14.611086,-90.5565153,94,2017-10-0914:11:34
14.611719,-90.5560973,144,2017-10-0914:11:35
14.611719,-90.5560973,116,2017-10-0914:11:36
14.612887,-90.5555983,73,2017-10-0914:11:37
14.613681 ,-90.5553033,79,2017-10-0914:11:38
14.614631,-90.5552983,143,2017-10-0914:11:39
14.618472,-90.5579157,87,2017-10-0914:11:40
14.619437,-90.5585167,98,2017-10-0914:11:41
14.620683,-90.5592247,107,2017-10-0914:11:42
14.62141,-90.5596217,84,2017-10-0914:11:43
14.62276 ,-90.5600397,86,2017-10-0914:11:44
14.623372,-90.5605227,86,2017-10-0914:11:45
14.623756,-90.5604157,116,2017-10-0914:11:46
14.623559,-90.5608987,73,2017-10-0914:11:47
14.623403,-90.5611777,86,2017-10-0914:11:48
14.622832,-90.5621437,194,2017-10-0914:11:49
14.622375,-90.5621757,74,2017-10-0914:11:50
14.621534,-90.5616817,68,2017-10-0914:11:51
14.621212,-90.5612097,117,2017-10-0914:11:52
14.621866,-90.5600727,118,2017-10-0914:11:53
14.620039,-90.5591287,109,2017-10-0914:11:54
